Time step 0 ended, beginning 1
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 1 ended, beginning 2
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 2 ended, beginning 3
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 3 ended, beginning 4
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 4 ended, beginning 5
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 5 ended, beginning 6
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 6 ended, beginning 7
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 7 ended, beginning 8
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 8 ended, beginning 9
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 9 ended, beginning 10
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 10 ended, beginning 11
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 11 ended, beginning 12
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 12 ended, beginning 13
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 13 ended, beginning 14
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 14 ended, beginning 15
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 15 ended, beginning 16
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 16 ended, beginning 17
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 17 ended, beginning 18
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 18 ended, beginning 19
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 19 ended, beginning 20
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 20 ended, beginning 21
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 21 ended, beginning 22
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 22 ended, beginning 23
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 23 ended, beginning 24
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 24 ended, beginning 25
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 25 ended, beginning 26
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 26 ended, beginning 27
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 27 ended, beginning 28
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 28 ended, beginning 29
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 29 ended, beginning 30
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 30 ended, beginning 31
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 31 ended, beginning 32
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 32 ended, beginning 33
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 33 ended, beginning 34
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 34 ended, beginning 35
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 35 ended, beginning 36
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 36 ended, beginning 37
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 37 ended, beginning 38
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 38 ended, beginning 39
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 39 ended, beginning 40
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 40 ended, beginning 41
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 41 ended, beginning 42
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 42 ended, beginning 43
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 43 ended, beginning 44
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 44 ended, beginning 45
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 45 ended, beginning 46
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 46 ended, beginning 47
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 47 ended, beginning 48
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 48 ended, beginning 49
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 49 ended, beginning 50
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 50 ended, beginning 51
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 51 ended, beginning 52
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 52 ended, beginning 53
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 53 ended, beginning 54
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 54 ended, beginning 55
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 55 ended, beginning 56
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 56 ended, beginning 57
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 57 ended, beginning 58
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 58 ended, beginning 59
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 59 ended, beginning 60
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 60 ended, beginning 61
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 61 ended, beginning 62
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 62 ended, beginning 63
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 63 ended, beginning 64
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 64 ended, beginning 65
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 65 ended, beginning 66
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 66 ended, beginning 67
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 67 ended, beginning 68
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 68 ended, beginning 69
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 69 ended, beginning 70
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 70 ended, beginning 71
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 71 ended, beginning 72
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 72 ended, beginning 73
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 73 ended, beginning 74
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 74 ended, beginning 75
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 75 ended, beginning 76
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 76 ended, beginning 77
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 77 ended, beginning 78
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 78 ended, beginning 79
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 79 ended, beginning 80
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 80 ended, beginning 81
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 81 ended, beginning 82
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 82 ended, beginning 83
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 83 ended, beginning 84
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 84 ended, beginning 85
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 85 ended, beginning 86
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 86 ended, beginning 87
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 87 ended, beginning 88
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 88 ended, beginning 89
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 89 ended, beginning 90
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 90 ended, beginning 91
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 91 ended, beginning 92
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 92 ended, beginning 93
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 93 ended, beginning 94
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 94 ended, beginning 95
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 95 ended, beginning 96
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 96 ended, beginning 97
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 97 ended, beginning 98
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 98 ended, beginning 99
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 99 ended, beginning 100
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 100 ended, beginning 101
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 101 ended, beginning 102
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 102 ended, beginning 103
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 103 ended, beginning 104
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 104 ended, beginning 105
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 105 ended, beginning 106
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 106 ended, beginning 107
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 107 ended, beginning 108
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 108 ended, beginning 109
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 109 ended, beginning 110
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 110 ended, beginning 111
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 111 ended, beginning 112
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 112 ended, beginning 113
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 113 ended, beginning 114
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 114 ended, beginning 115
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 115 ended, beginning 116
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 116 ended, beginning 117
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 117 ended, beginning 118
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 118 ended, beginning 119
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 119 ended, beginning 120
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 120 ended, beginning 121
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 121 ended, beginning 122
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 122 ended, beginning 123
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 123 ended, beginning 124
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 124 ended, beginning 125
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 125 ended, beginning 126
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 126 ended, beginning 127
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 127 ended, beginning 128
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 128 ended, beginning 129
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 129 ended, beginning 130
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 130 ended, beginning 131
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 131 ended, beginning 132
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 132 ended, beginning 133
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 133 ended, beginning 134
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 134 ended, beginning 135
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 135 ended, beginning 136
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 136 ended, beginning 137
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 137 ended, beginning 138
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 138 ended, beginning 139
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 139 ended, beginning 140
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 140 ended, beginning 141
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 141 ended, beginning 142
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 142 ended, beginning 143
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 143 ended, beginning 144
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 144 ended, beginning 145
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 145 ended, beginning 146
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 146 ended, beginning 147
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 147 ended, beginning 148
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 148 ended, beginning 149
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 149 ended, beginning 150
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 150 ended, beginning 151
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 151 ended, beginning 152
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 152 ended, beginning 153
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 153 ended, beginning 154
People Infected: 0People that died so far: 0Total Infected: 0Total Dead 0Time step 154 ended, beginning 155
