Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17Time step 0 ended, beginning 1
People Infected: 8People that died so far: 6Total Infected: 18Total Dead 6Time step 1 ended, beginning 2
People Infected: 3People that died so far: 10Total Infected: 21Total Dead 10Time step 2 ended, beginning 3
People Infected: 3People that died so far: 13Total Infected: 24Total Dead 13Time step 3 ended, beginning 4
People Infected: 2People that died so far: 15Total Infected: 26Total Dead 15Time step 4 ended, beginning 5
People Infected: 0People that died so far: 17Total Infected: 26Total Dead 17
